ETF,收盘价,RSI,站上MA20,站上MA50,MACD>Signal,MA20上升,MA50上升,与MA20偏离%,与MA50偏离%
SPY,672.04,48.2,False,True,False,True,True,-0.75,0.61
QQQ,608.4,46.2,False,True,False,True,True,-1.73,0.53
IWM,236.79,39.7,False,False,False,False,True,-3.29,-2.67
VTI,329.91,46.9,False,True,False,True,True,-0.96,0.21
VOO,617.99,48.2,False,True,False,True,True,-0.73,0.6
VEA,61.4,55.1,True,True,True,True,True,0.49,1.59
VWO,54.83,51.1,False,True,False,True,True,-0.29,0.9
AGG,100.12,43.0,False,False,False,False,True,-0.52,-0.35
BND,74.27,43.2,False,False,False,False,True,-0.5,-0.35
LQD,110.55,39.6,False,False,False,False,True,-0.99,-0.98
HYG,80.2,40.7,False,False,False,False,False,-0.57,-0.75
EMB,96.03,50.8,False,True,False,True,True,-0.23,0.42
TIP,110.88,42.9,False,False,False,False,False,-0.48,-0.49
GLD,382.87,60.3,True,True,True,False,True,2.17,5.92
SLV,47.42,63.1,True,True,True,False,True,6.22,10.76
USO,69.85,42.4,False,False,False,True,False,-1.87,-3.47
UNG,14.81,68.0,True,True,True,True,True,10.53,13.85
VNQ,89.4,44.6,False,False,True,False,False,-1.22,-1.63
REIT,26.45,45.2,False,False,False,False,False,-1.27,-0.92
XLF,52.98,51.0,True,False,True,True,False,0.53,-0.37
XLE,90.48,59.4,True,True,True,True,True,2.42,2.26
XLI,152.0,43.5,False,False,False,True,True,-1.27,-0.75
XLK,286.59,45.4,False,True,False,True,True,-2.41,0.67
XLV,152.74,81.6,True,True,True,True,True,4.39,7.32
XLY,232.0,42.3,False,False,False,False,False,-2.51,-2.4
XLP,77.32,47.7,False,False,True,False,False,-0.38,-1.36
XLU,88.68,44.2,False,True,False,False,True,-1.44,0.43
XLRE,40.83,42.0,False,False,False,False,False,-1.78,-2.1
XLB,87.57,50.3,True,False,True,False,False,0.37,-1.4
IYR,94.66,43.8,False,False,False,False,False,-1.46,-1.68
KRE,60.79,47.3,True,False,True,True,False,0.43,-2.61
KBE,57.15,46.3,True,False,True,True,False,0.05,-2.59
XHB,104.12,39.1,False,False,True,False,False,-2.12,-4.91
ITB,97.79,34.0,False,False,True,False,False,-3.3,-7.13
XRT,80.5,41.2,False,False,False,False,False,-2.41,-4.91
XME,92.41,43.7,False,False,False,False,True,-4.3,-2.75
XOP,131.92,57.2,True,True,True,True,False,3.32,1.63
XES,78.41,52.2,False,True,False,True,True,-0.54,5.17
GDXJ,98.59,54.5,True,True,True,False,True,3.53,3.05
GDX,77.05,56.4,True,True,True,False,True,4.76,4.39
SIL,69.28,54.0,True,True,True,False,True,3.01,1.25
COPX,61.74,53.8,True,True,False,False,True,1.18,4.87
URA,45.34,37.6,False,False,False,False,True,-10.85,-8.32
ICLN,16.87,49.2,False,True,False,True,True,-1.49,4.64
PBW,30.18,43.3,False,False,False,False,True,-7.21,-1.59
QCLN,43.49,44.0,False,True,False,False,True,-5.1,0.06
FAN,20.04,48.2,False,True,False,False,True,-0.97,1.88
TAN,48.48,50.3,False,True,False,True,True,-0.73,5.04
LIT,63.69,63.7,True,True,True,True,True,5.5,11.64
BATT,13.62,55.2,True,True,False,True,True,1.16,5.75
