类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
股票,DOCN,45.19,-6.57,55.3,0.85,90,✅ 买入,否
股票,SBSW,11.27,-3.84,54.2,0.62,90,✅ 买入,否
股票,CZNC,19.51,0.52,53.0,1.0,90,✅ 买入,否
股票,HL,14.84,-4.44,61.2,0.93,90,✅ 买入,否
股票,CPK,133.89,-0.64,54.2,0.82,90,✅ 买入,否
股票,WHD,41.38,-2.73,52.2,0.64,90,✅ 买入,否
股票,CMC,59.53,-2.97,51.4,0.58,90,✅ 买入,否
股票,WBD,22.14,-0.23,62.8,0.9,90,✅ 买入,否
股票,DQ,31.72,-1.34,54.7,1.07,90,✅ 买入,否
股票,EA,201.34,-0.33,67.8,0.71,90,✅ 买入,否
股票,OGS,82.01,0.29,55.1,0.58,90,✅ 买入,否
股票,LILAK,8.2,-0.61,51.3,0.67,90,✅ 买入,否
股票,GOOD,11.27,0.09,46.4,0.82,90,✅ 买入,否
股票,CMS,73.93,-1.37,52.3,0.75,90,✅ 买入,否
股票,AAL,13.07,-2.9,52.4,0.7,90,✅ 买入,否
股票,STLD,154.59,-2.07,55.1,0.96,90,✅ 买入,否
股票,HURN,161.77,-2.24,55.6,0.62,90,✅ 买入,否
股票,D,60.87,-0.81,52.9,1.03,90,✅ 买入,否
股票,HON,199.87,-0.85,52.8,0.84,90,✅ 买入,否
股票,FLS,68.0,-2.79,65.7,0.75,90,✅ 买入,否
股票,AAPL,272.95,-0.19,66.0,0.97,90,✅ 买入,否
股票,MSCI,573.34,-1.28,52.3,0.76,90,✅ 买入,否
股票,AKRO,54.2,-0.18,68.3,1.06,90,✅ 买入,否
股票,CSGS,78.49,0.0,81.9,0.36,90,✅ 买入,否
股票,GOOGL,278.57,-2.84,57.9,0.88,90,✅ 买入,否
股票,EXPE,267.35,-2.3,70.6,1.18,90,✅ 买入,否
股票,HCA,473.28,-0.07,64.5,0.87,90,✅ 买入,否
股票,T,25.75,0.39,51.8,0.66,90,✅ 买入,否
股票,ORLY,98.35,0.27,49.9,0.76,90,✅ 买入,否
股票,AMBC,9.51,-4.04,61.3,0.82,90,✅ 买入,否
股票,HOLX,74.26,-0.4,68.0,0.57,90,✅ 买入,否
股票,BMRN,54.22,-1.99,53.3,0.8,90,✅ 买入,否
股票,CGEM,8.27,-0.96,57.1,0.73,90,✅ 买入,否
股票,KROS,17.3,-0.97,68.6,0.93,90,✅ 买入,否
股票,ADMA,15.7,-4.62,53.8,0.93,90,✅ 买入,否
股票,BKYI,0.97,5.43,59.4,0.12,90,✅ 买入,否
股票,M,20.07,-2.48,60.2,1.09,90,✅ 买入,否
股票,CDNA,15.87,-2.7,54.9,0.95,90,✅ 买入,否
股票,CTMX,3.86,-8.75,55.3,1.01,90,✅ 买入,否
股票,CTRE,35.74,-1.27,54.5,0.69,90,✅ 买入,否
股票,TW,110.03,0.1,54.3,0.76,90,✅ 买入,否
股票,JPM,309.48,-3.41,50.7,1.22,90,✅ 买入,否
股票,C,100.67,-2.14,52.0,1.0,90,✅ 买入,否
股票,CMA,78.11,-1.66,55.4,0.66,90,✅ 买入,否
股票,AXP,364.73,-2.16,60.8,0.89,90,✅ 买入,否
股票,SCHW,95.36,-2.41,52.8,1.06,90,✅ 买入,否
股票,PGR,223.15,0.58,52.9,0.69,90,✅ 买入,否
股票,MCO,490.77,-0.01,53.7,0.92,90,✅ 买入,否
股票,PSEC,2.78,-1.07,53.8,0.83,90,✅ 买入,否
股票,ANF,71.62,0.53,45.0,0.6,90,✅ 买入,否
股票,HLT,269.89,-1.79,54.8,0.79,90,✅ 买入,否
股票,ALRM,50.41,0.52,49.5,0.89,90,✅ 买入,否
股票,PCTY,148.3,0.21,49.5,0.78,90,✅ 买入,否
股票,OKE,69.44,0.78,53.2,1.01,90,✅ 买入,否
股票,GOOG,279.12,-2.89,58.0,0.83,90,✅ 买入,否
股票,AMSF,41.39,0.49,51.7,0.86,90,✅ 买入,否
股票,ZVIA,2.58,-4.8,55.0,0.83,90,✅ 买入,否
股票,IBM,304.86,-3.21,55.4,0.78,90,✅ 买入,否
股票,ADI,237.53,-1.62,50.4,1.46,90,✅ 买入,否
股票,MU,236.95,-3.25,60.8,1.41,90,✅ 买入,否
股票,TWLO,123.99,-3.46,55.4,0.84,90,✅ 买入,否
股票,BG,96.9,0.62,65.9,1.03,90,✅ 买入,否
股票,CFLT,23.4,-3.94,55.6,0.66,90,✅ 买入,否
股票,CALM,91.57,0.69,51.4,0.81,90,✅ 买入,否
股票,HAL,27.02,0.33,58.4,0.85,90,✅ 买入,否
股票,NEXT,5.98,-2.13,43.5,1.28,90,✅ 买入,否
股票,MKC,66.1,0.33,52.1,1.1,90,✅ 买入,否
股票,CL,78.79,0.29,52.5,0.81,90,✅ 买入,否
股票,VRSN,251.51,0.41,49.1,0.92,85,✅ 买入,否
股票,STX,262.56,-7.31,54.3,1.07,85,✅ 买入,否
股票,QTWO,71.72,-2.18,62.7,0.53,85,✅ 买入,否
股票,BR,225.61,0.87,46.3,0.99,85,✅ 买入,否
股票,UNM,77.0,-0.44,53.5,0.77,85,✅ 买入,否
股票,LNC,41.08,-1.75,53.8,0.82,85,✅ 买入,否
股票,MMC,183.85,0.58,45.4,0.77,85,✅ 买入,否
股票,AMZN,237.58,-2.71,52.3,0.77,85,✅ 买入,否
股票,JAMF,12.87,-0.08,77.2,0.35,85,✅ 买入,否
股票,KKR,120.75,-1.89,45.6,2.02,85,✅ 买入,否
股票,VXRT,0.37,2.78,52.6,0.4,85,✅ 买入,否
股票,SKT,33.82,-1.74,53.2,0.64,85,✅ 买入,否
股票,BNTX,103.88,-7.0,47.8,3.12,85,✅ 买入,否
股票,COLL,46.38,-2.05,80.9,1.51,85,✅ 买入,否
