类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
ETF,XES,79.81,1.79,56.1,0.49,90,✅ 买入,否
ETF,GDX,76.16,-1.16,54.4,0.95,90,✅ 买入,否
ETF,TAN,49.51,2.12,53.5,1.81,90,✅ 买入,否
ETF,VEA,61.32,-0.13,54.2,1.04,85,✅ 买入,否
ETF,GLD,375.96,-1.8,54.0,0.87,85,✅ 买入,否
ETF,KBE,57.26,0.19,47.3,0.65,85,✅ 买入,否
ETF,KRE,60.92,0.21,48.3,0.82,85,✅ 买入,否
ETF,SPY,671.93,-0.02,48.1,1.29,80,✅ 买入,否
ETF,QQQ,608.86,0.08,46.5,1.38,80,✅ 买入,否
ETF,SIL,68.3,-1.41,51.5,0.73,80,✅ 买入,否
ETF,FAN,20.04,0.0,48.2,1.79,80,✅ 买入,否
ETF,GDXJ,97.44,-1.17,52.6,0.82,80,✅ 买入,否
ETF,XLK,288.15,0.54,47.3,1.56,80,✅ 买入,否
ETF,VOO,617.83,-0.03,48.1,1.37,80,✅ 买入,否
ETF,BATT,13.49,-0.95,52.7,0.49,80,✅ 买入,否
