ETF,收盘价,RSI,站上MA20,站上MA50,MACD>Signal,MA20上升,MA50上升,与MA20偏离%,与MA50偏离%
SPY,671.93,48.1,False,True,False,True,True,-0.82,0.52
QQQ,608.86,46.5,False,True,False,True,True,-1.69,0.5
IWM,237.48,40.9,False,False,False,False,False,-2.89,-2.38
VTI,329.86,46.8,False,True,False,True,True,-1.01,0.13
VOO,617.83,48.1,False,True,False,True,True,-0.81,0.5
VEA,61.32,54.2,True,True,True,True,True,0.31,1.38
VWO,54.85,51.3,False,True,False,True,True,-0.3,0.83
AGG,100.0,40.9,False,False,False,False,False,-0.59,-0.47
BND,74.16,40.6,False,False,False,False,False,-0.6,-0.49
LQD,110.25,36.8,False,False,False,False,False,-1.17,-1.24
HYG,80.22,41.3,False,False,False,False,False,-0.51,-0.71
EMB,95.97,49.9,False,True,False,True,True,-0.31,0.33
TIP,110.75,41.0,False,False,False,False,False,-0.55,-0.59
GLD,375.96,54.0,True,True,True,False,True,0.5,3.75
SLV,45.96,55.9,True,True,True,False,True,3.07,6.91
USO,71.38,49.5,True,False,False,True,False,0.04,-1.32
UNG,14.56,63.7,True,True,True,True,True,7.58,11.65
VNQ,89.59,45.8,False,False,True,False,False,-0.92,-1.36
REIT,26.52,46.8,False,False,False,False,False,-0.94,-0.63
XLF,52.45,45.7,False,False,True,True,False,-0.5,-1.34
XLE,92.02,64.9,True,True,True,True,True,3.81,3.89
XLI,152.01,43.6,False,False,False,True,True,-1.27,-0.75
XLK,288.15,47.3,False,True,False,True,True,-1.93,1.04
XLV,151.83,75.5,True,True,True,True,True,3.46,6.47
XLY,230.89,41.0,False,False,False,False,False,-2.9,-2.83
XLP,77.26,47.1,False,False,True,False,False,-0.3,-1.35
XLU,88.76,44.9,False,True,False,False,True,-1.19,0.4
XLRE,40.95,43.8,False,False,False,False,False,-1.36,-1.76
XLB,86.77,46.0,False,False,True,False,False,-0.48,-2.18
IYR,94.88,45.1,False,False,False,False,False,-1.13,-1.4
KRE,60.92,48.3,True,False,True,True,False,0.49,-2.26
KBE,57.26,47.3,True,False,True,True,False,0.12,-2.27
XHB,103.32,36.7,False,False,True,False,False,-2.67,-5.37
ITB,97.11,32.1,False,False,False,False,False,-3.67,-7.43
XRT,80.03,39.6,False,False,False,False,False,-2.74,-5.3
XME,91.84,42.7,False,False,False,False,True,-4.38,-3.51
XOP,134.01,61.1,True,True,True,True,True,4.53,3.17
XES,79.81,56.1,True,True,False,True,True,0.72,6.76
GDXJ,97.44,52.6,True,True,True,False,True,2.62,1.58
GDX,76.16,54.4,True,True,True,False,True,3.73,2.91
SIL,68.3,51.5,True,False,True,False,True,1.96,-0.38
COPX,61.15,51.7,True,True,False,True,True,0.21,3.51
URA,44.75,36.4,False,False,False,False,True,-11.27,-9.66
ICLN,17.02,51.1,False,True,False,True,True,-0.76,5.27
PBW,30.52,44.7,False,False,False,False,True,-5.83,-0.81
QCLN,43.37,43.6,False,False,False,False,True,-5.14,-0.45
FAN,20.04,48.2,False,True,False,False,True,-0.95,1.74
TAN,49.51,53.5,True,True,False,True,True,1.07,7.02
LIT,63.77,63.9,True,True,True,True,True,5.03,11.27
BATT,13.49,52.7,True,True,False,True,True,0.05,4.37
