类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现,基本面评分,估值评分,盈利能力评分,成长性评分,财务健康评分,股息评分,PE比率,PB比率,PS比率,净利润率%,ROE%,ROA%,营收增长%,盈利增长%,流动比率,债务股权比,股息收益率%,派息比率%
股票,SENEA,121.58,1.51,65.0,1.56,164,🔥 新强买入,是,34.0,12.0,2.0,9.0,9.0,2.0,14.088065,1.2392844,0.50979525,3.728,9.417,4.216,8.1,125.4,2.587,44.544,0.0,0.0
股票,BIIB,167.55,1.71,74.0,1.46,159,🔥 新强买入,是,34.0,10.0,6.0,7.0,9.0,2.0,15.273473,1.3499687,2.4419045,15.98,9.307,5.7490002,2.8000000000000003,19.2,2.716,36.194,0.0,0.0
股票,SAFT,77.25,0.56,74.2,1.79,156,🔥 新强买入,是,31.0,12.0,3.0,8.0,7.0,1.0,13.160136,1.279037,0.9345712,7.0889999999999995,9.969,2.9790001,10.6,10.4,0.386,4.739,476.0,61.67
股票,CART,41.05,1.79,61.8,1.21,156,🔥 新强买入,是,36.0,7.0,8.0,9.0,10.0,2.0,22.554943,3.1518734,2.9664128,14.148,15.326998999999999,8.224,10.2,21.099999999999998,3.643,1.013,0.0,0.0
股票,ALL,214.3,1.49,72.6,1.86,156,🔥 新强买入,是,36.0,11.0,8.0,8.0,7.0,2.0,6.9487677,2.201471,0.8389192,12.533,34.469001999999996,5.093,3.8,222.2,0.426,29.43,187.0,12.709999999999999
股票,XOM,119.29,0.42,64.0,1.24,156,🔥 新强买入,是,26.0,10.0,5.0,1.0,8.0,2.0,17.338663,1.9306964,1.5419269,9.1809995,11.424,5.108,-5.1,-8.3,1.137,15.672,345.0,57.56
股票,OKE,70.49,1.51,57.7,1.29,155,🔥 新强买入,是,35.0,11.0,7.0,12.0,4.0,1.0,12.95772,2.010668,1.4052253,10.5790004,17.846999999999998,6.2750004,71.89999999999999,26.200000000000003,0.904,152.218,584.0,75.0
股票,ACAD,24.02,1.61,61.2,0.73,154,🔥 新强买入,是,39.0,7.0,10.0,10.0,10.0,2.0,15.496775,4.4292827,3.8808877,24.941999,34.952,5.114,11.3,112.79999999999998,3.019,5.975,0.0,0.0
股票,L,104.41,0.02,70.4,1.76,154,🔥 新强买入,是,29.0,11.0,2.0,8.0,6.0,2.0,15.131885,1.1812556,1.1812837,7.949000000000001,8.182,1.704,4.6,33.4,0.493,49.123,24.0,3.6199997999999995
股票,CPK,134.58,0.52,55.9,1.36,153,🔥 新强买入,是,23.0,8.0,4.0,7.0,2.0,2.0,23.904085,2.086544,3.592043,14.773,9.132,4.281,12.1,5.4,0.623,103.911,204.0,47.07
股票,SONY,30.12,2.31,60.9,1.35,153,🔥 新强买入,是,28.0,10.0,5.0,6.0,5.0,2.0,23.169231,0.02341842,0.013689851,8.8999994,15.412,2.7709998,7.000000000000001,7.8,1.046,20.059,50.0,11.2399995
股票,CPRX,23.18,0.7,69.3,0.85,152,🔥 新强买入,是,42.0,8.0,12.0,10.0,10.0,2.0,13.555555,3.1047416,4.9275837,37.627998,27.519,17.738001,15.299999999999999,20.0,6.622,0.314,0.0,0.0
股票,MRK,92.92,-0.01,70.5,1.71,152,🔥 新强买入,是,37.0,8.0,12.0,8.0,7.0,2.0,12.291005,4.4576635,3.5907893,29.631999999999998,39.485002,12.614,3.6999999999999997,87.0,1.661,79.708,349.0,42.86
股票,VAL,57.03,0.83,59.0,0.64,151,🔥 新强买入,是,36.0,11.0,9.0,6.0,8.0,2.0,10.202147,1.6239073,1.642381,16.514999,17.177999,7.631,-7.3999999999999995,201.10000000000002,1.871,47.486,0.0,0.0
股票,ABT,130.59,1.03,59.2,1.28,151,🔥 新强买入,是,31.0,6.0,10.0,4.0,9.0,2.0,16.385195,4.45654,5.1793737,31.879999999999995,30.620000000000005,6.7930005,6.9,0.0,1.703,25.31,181.0,29.15
股票,ED,101.66,0.7,60.0,1.33,151,🔥 新强买入,是,26.0,9.0,4.0,8.0,3.0,2.0,17.772728,1.5185148,2.211337,12.2700006,8.839,3.2640000000000002,10.7,12.4,1.075,110.373,334.0,59.089999999999996
股票,MNST,71.31,0.32,61.2,0.88,151,🔥 新强买入,是,36.0,1.0,12.0,11.0,10.0,2.0,40.517044,8.994702,8.735861,21.654,25.538,16.877002,16.8,39.5,3.185,0.779,0.0,0.0
股票,TPVG,6.01,0.84,61.6,1.24,150,🔥 新强买入,是,25.0,11.0,7.0,0.0,7.0,0.0,7.2409644,0.6838871,2.5934095,36.221,9.428999600000001,5.609,-14.299999999999999,-33.300000000000004,3.495,132.046,1797.0,136.14
股票,HP,27.83,3.15,66.8,1.6,150,🔥 新强买入,是,25.0,12.0,1.0,6.0,5.0,1.0,7.7955184,1.0011871,0.80728227,,,3.7310000000000003,49.2,,1.841,81.44,359.0,60.91
